客戶代號	客戶名稱	電話	傳真	價格傳真/備註	客戶統編
AVE551-004	悅安(對業主請款開發票)				
AVF552	蕎格552	04-7203579	04-7203579	林明志0931-655-291	
AVG553	台灣歐德-樹林店553	02-2685-1738	02-2685-1708	李莉華0983-607-206	
AVH554	泰然554	02-27599668	02-27596188		
AVI555	富爾康555	03-4335919	03-4335919	傅國峻0927-156-199	
AVJ556	林展旗556	02-86601337	02-86601338	林怡菁0920-745-945	
AVK557	英甲設計557AVK	03-4383478	03-4383479	曾威宇0915-661-878	
AVL558	祺樺558AVL	02-8797-6196	02-8797-6176	陳倩妮經理0970-078-920	
AVM559	積禾559	02-27966158	02-87929768		
AVN560	濟緻560AVN	02-27968550	02-87914676		
AVN560-001	業主維修(濟緻)	為了沖帳勿刪			
AVN560-002	吳偉文(原濟緻)560-002AVN	0961-166-880			
AVO561	渥爾夫561AVO	03-9332990	03-9332991		
AVO561-001	業主-樂米-櫻花蘭陽561				
AVP562	如誠562	03-5323115	03-5356886	何如誠建築師事務所-梁金蘭0933-264-896	
					
AVQ563	禾川563	03-5506066	03-5506366	陳雋澔0982-398-339	
AVR564	元典設計564AVR	02-25237113	02-25238773		
AVR564-01	業主維修-元典設計				
AVS565	琴寶565AVS	03-3292031	03-3209617		
AVT566	綠的國際-北區(北北基)566	02-86301800	02-26105078採購詹s		
AVT566-2	綠的國際-中區(新竹+台中)566-2	04-25600890	04-25608372	李小姐	
AVT566-1	綠的家具-重慶店566-1AVT	02-25559771	02-25559717		
AVT566-3	綠的家具-中興店566-3AVT	02-89199098	02-89199108	王相斌0986-390-191	
AVT566-04	業主維修-聖紘566-04				
AVU567	婕森空間設計567	03-6663815	03-6663816	吳忠益0955-832-651	
AVV568	采品室內設計568AVV	03-2184282	03-2184282	盧慧珊0939-206-100	
AVW569	貝拉精品廚飾569AVW	03-9659965	03-9658965	0953-228-010林'R要餘料	
AVW569-001	門市+貝拉				
AVX570	賀澤570	03-6681222	03-6681333		
AVY571	月光設計571	02-26911472	02-26911472	林小姐0919-193-419	
AVZ572	百藝572AVZ	03-3678665	03-3678758	0912-222-515	
AWA573	美久573AWA	02-27603777	02-27603899	0935-326-567	
AWB574	台灣松下營造	02-22903980	02-22903985	曾小姐170	
AWB574-001	台灣松下營造-三重				
AWC575	羽筑設計(系統櫃)575AWC	03-5501946	03-5502180	鄧R 0955518318	
AWC575-001	羽筑設計-門市	03-5501946	03-5502180	鄧R 0955518318	
AWC575-002	久田-羽筑(系統櫃)575-002	03-5501946	03-5502180		
	羽筑設計-門市	0937-019-909		柯富霖0937-019-909	
AWE577	大永設計577AWE	02-26498298	02-26496398		
AWF578	雯森室內設計578AWF	0955-028-616	02-29212075	詹景雯	
AWG579	成舍企業579	02-87720899	02-87725699		
AWG579-01	成舍企業579-01承德AWG	02-25561177	02-25584694		
AWH580	台灣餘弦580	02-2711-5728*17			
AWI581	吳將星室內裝潢581	0932-128-946			
AWJ582	工一設計582AWJ	02-2709-1000	02-2709-3939	陳威辰0928-417-566	
					
AWJ582-001	工一設計-敦化南路	沖帳用勿刪			
					
AWL584	鼎盛嘉584AWL(格麗斯成功店)	02-27935802	Line莊's		
AWL584-00	鼎盛嘉584(門市店樣)	沖帳用勿刪			
AWM585	大荷設計585AWM	02-27090089	02-27090216		
AWN586	孕育設計586	0917-601-157		洪先生0917-601-157	
AWO587	一格587	0933-993-446		陳倖軍0933-993-446	
AWP588	拾悅設計588	0937-176-938		陳筱蓓0937-176-938	
AWQ589	新傑創設計589	02-26290069	02-26297512	洪又升0910-016-870	
AWR590	爾聲設計590			陳玟婷	
AWS600	吉詠600	02-27941131	02-27941151		
AWT601	立英裝潢601	02-82601408	02-82601409	翁茂宜0937-954-695	
AWU602	久木設計602	02-26098886	02-26009886	姜薇0975-286-012	
AWV603	沐藝603AWV	0926-238-029		蔡逸萱0926-238-029	
AWW604	克特604	02-22935800	02-22933593		
AWX605	舒曼(桃園店)605AWX	03-3575653	03-3587473		
AWX605-002	舒曼(青埔店)605-002AWX	03-2870681	03-2876698		
AWX605-001	門市-舒曼				
AWZ607	回向設計有限公司607	02-2523-1508		林先生0952-580-003	
AXA608	奇建608	02-26084313	02-26084393	許漢興0983-033-311	
AXB609	硯寛609	03-3561180	03-3565571	許尹珊0973-008-051	
AXC610	順福610	0973-685-210		李安佳0973-685-210	
AXD611	活創意611AXD	0926-296-493		teleah61@gmail.com	
AXE612	廖茹屏612	0952-501-107			
AXF613	喬景613-蘇成介紹	03-6673990	03-6673960		
AXG614	福元614(誠鑫)AXG	0981-297-500		游先生	
AXH615	牧群615	06-335-9985		馬先生0939-597-887	
AXI616	雷昆空間616	0939-014-872			
AXJ617	禾亞(安磊設計)617	02-2926-7666		0928-549899李先生	
AXK618	王樣室內設計618	04-2473-2508	04-24739735	0932-029-350	
AXL619	冠璟室內設計619AXL	03-3641940	03-3643876		
AXL619-001	冠璟的師父(冠璟)				
AXM620	立禾室內設計620	03-572-1360	03-575-2529	彭攸婷0913-991-127	
AXN621	格堂621	02-2298-0087	02-2298-0080	陳小姐	
AXO622	紘裕國際廚具622AXO	02-2240-6835	02-2240-6883	0925-526998胡先生	
AXP623	麗坊623AXP	02-86777920	02-26773501	檯面一律刮膠不磨	
AXP623-001	麗坊623AXP-林小姐(馗心居)	0955-568-330	LINE	需收尾	
AXP623-002	麗坊-月桃工地				
AXP623-003	雷蒂廚具623-003	02-86778255	02-86778257	"背牆一律要打矽利康 需收尾
爐子紙箱需清走 $300"	
AXQ624	泳霖624AXQ	line			
AXQ624-001	業主-泳霖				
AXQ624-002	大展設計(泳霖)				
AXR625	德政625	02-2618-3746	02-2618-6346		
AXS626	奧可博克626	02-2701-0413	02-2701-0419	莊秀麗0910-762-760	
AXT627	耕霖室內設計627	03-558-8281	03-558-8283		
AXU628	固磊科技628AXU	02-29010755	02-29013662	CLEAN UP(要問)	
					
AXU629	呈美629	02-27659057	02-27655906	蘇'R 0929-513-305	
AXV630	綠川630	02-27996587	02-26259496	張'R 0979-239778	
AXW631	的亞室內設計工程有限公司631	02-27279722	02-27593439	劉宇平0932-396135	
AXX632	南邑設計632	03-6676285	03-6673194	(報含稅價)楊雯鈞設計師0938-041-314	
AXY633	室覺空間633	03-667-0619		王'R0925-873-351	
AXZ634	幸福家634AXZ				
AXZ634-01	幸福家634-01林佳緯	0922-332-230			
AYA635	適邑家居635	02-27902901	02-27902981		
AYB636	詠瀚636	02-88112927	02-28107599	郭玠宏0939-220-560	
AYC637	佑祥637	02-26028919	02-26023979	林玉峯0930-088-617	
AYD638	賴炎坤設計師638	0932-206-322			
AYE639	加鈺639	02-29017868	02-29011656	于叔含	
AYF640	睦霖640	"02-27996801
02-26277828"	02-27997639	王宏和0910-196-630	
AYG641	德法641AYG	0910-663634	03-5160229		
AYG641-001	大舜工地-德法	為了沖帳	為了沖帳		
AYG641-002	原砌工地-德法	為了沖帳			
AYG641-003	大晏工地-德法	為了沖帳			
AYG641-004	德法-自在晴				
AYG641-005	德法-自在晴(溪州路)				
AYH642	法朵拉娜642	0932-204958	03-3162320		
AYI643	微自然室內裝修643	03-6661008	03-6662603		
AYJ644	永暉地板644	02-29316380	02-29316366		
AYK645	好室達645	02-2302-2297	02-23024766	劉小姐0919-267-037	
AYL646	百玥646	02-2608-9660	02-2609-1300		
AYM647	東泰石材雕刻社647	02-2603-0411	02-2603-0342		
AYN648	新居視覺空間設計648	0972-880-665	03-4810891		
AYO649	碁盛國際649	02-26510857	02-26515419	劉凡菲0920-903078	
AYP650	六甲綠榐650AYP	02-8522-2239	02-8522-3722		
AYQ651	峻益651AYQ	06-2053386	06-2053250		
AYQ651-001	峻益+五金				
AYQ651-002	峻益+5593WM				
AYR652	柚子室內裝修設計652	03-533-6162	03-526-0709	0931-589-698	
AYS653	一直在設計室內裝修653AYS	037-666307	037-666227		
AYS653-001	寬遠門市				
AYT654	德屋設計654	0955-072-315	live0932140@gmail.com		
AYU655	凱翊室內空間設計655	0912-265-497	02-2748-6980		
AYV656	睿信三輪656AYV	02-87910488	(LINE)02-87911798		
AYV656-001	門市-睿信三輪	02-87910488	(LINE)02-87911798		
AYV656-01	(個人)陳冠勳656-01	0911-208-241			
AYV656-02	(個人)王欽玄656-02	0918-658-559			
AYW657	禾嘉/禾源(原北松)-657AYW	02-28360361	02-28360360	日本水槽上方塑膠保護膜要留著帶至現場蓋回去	
AYW657-002	業主維修(禾嘉/禾源(原北松))				
AYX658	麒寰-658國際	02-2931-7468	02-3322-9057		
AYY659	懋宇659AYY	03-3617676	03-3649595		
AYZ660	承泰國際設計660	0906-965858			
AZA661	麗櫥空間661AZA	"03-2188123
呂'r0905-699-015"	03-2188122	110-01-01-搬家	
AZB662	力德(永競)662AZB	02-2664-9512	02-2664-6729		
AZB662-1	力德(永競)662-1AZB 蔡昭仁				
AZB662-002	業主維修(力德永競)				
AZC663	釩宇傢俱663	0955-192-592	03-3192154		
AZD664	富士664AZD	02-23969360	02-23966931		
AZE665	郁宸665AZE	0920-010-568	02-26461021	林文生0935-021-502	
AZF666	騏基666	03-3165155	03-3161035	卲仕仁0903-063555	
AZG667	捷森667	03-6663815	03-6663816		
AZH668	覲合668	02-2595-6120	02-2587-2251		
AZI669	山鳴谷應669	02-89853385	02-89857675	陳'R	
AZJ670	森嵐670	0918-618292	03-5711538		
AZK671	居名元671	"03-3555757
03-3555725"	03-3572208	梁S0986-785558	
AZL672	皇佳班672	0989-099-591		李光翔	
AZN673	施向澤673	0932-770846			
AZO674	講譯674	03-6676818	03-6676898		
AZP675	柏萊675	02-2836-0361	02-2836-0360		
AZQ676	郭設計師676	0958-080-980			
AZR677	你你設計677	02-27595582	02-27595583	何小姐0970-871378	
AZS678	栐欐678	02-2562-3746	02-2571-4582	翁'S 0939-686-151	
AZT679	鑫品679	03-3247009	02-3240089		
AZU680	橋圓680	03-3335343	03-3335230		
AZV681	藝典設計681	02-86610867	02-86610109		
AZW682	統領682	03-4894248	03-4095878	魏照珠0926-628-969	
AZX683	東柏-張啟柏683AZX	0956-063-536	02-27901898	張啟柏0956-063536	
AZY684	習翌設計684	02-2345-6098	02-23456399		
AZZ685	工緒空間685	03-6582122	03-6856786		53637439
BAA686	青域設計686BAA	02-28961820	02-28961830	"張紘瑋0970-137800
賴紹宇0922-520-242"	00243241清鑠國際設計有限公司
BAB687	好萊得687BAB	02-26028939	02-26027379	蔡惠如0932-086506	
BAC688	橘蕃茄688BAC	02-82267788	02-22257878	蕭芃慧0933-131287	
BAD689	澳大689	03-4623211			
BAE690	得象室內裝修690	02-22869207	02-22860545	陳秋源0936-262601	
BAF691	優克萊691	02-28318078	02-28311502	彭梓翔0935-022460	
BAG692	邵氏692	02-23567800	02-23564999		
BAH693	蟲點子693	02-23650301	02-23650321	古小姐0931-319704	24958045
BAI694	意念工房694	"03-5942270
03-5942319"	03-5961445		
BAJ695	貞亨企業695	03-3290789	03-3290686	吳淑玲#17	
BAK696	博森設計工程有限公司696	02-26339586			
BAL697	家和設計697	0963-075-468	03-5438355	周先生	
BAM698	日禾國際(原寶廚日禾)698BAM	03-3520023	LINE	歐羽哲0982-730564	
BAM698-001	門市+寶廚日禾				
BAN699	竺河建築設計699	姜建宇0910-260309		姜建宇0910-260309	
BAO700	竹雅廚藝(家博士)700	03-536-6655	03-536-2255		
BAP701	艾多力701	04-24523580	04-24527337		
BAQ702	李奧廚具702BAQ	0933-151020	LINE群	前緣一律同色石材內包5~8cm,檯面凸水槽5mm	
BAQ702-001	業主維修(李奧廚具)				
BAR703	九枋設計703	02-27678180	02-27678190	顏先生0982-191218	
BAS704	柏妮斯(強將)704BAS	02-26187856	02-26184988	高明新0935-604036	
BAT705	仁和居705	06-2905806	06-2903506	洪先生0986-686-335	
BAU706	富昱706BAU	03-3610397	03-3614929	潘自勇0909-301658	
BAV707	天淇707	李敏瑟0928-086219			
BAW708	維璞708BAW	02-25996488	02-25996485		
BAX709	璟勝(義庭名廚)709BAX	02-23568500	02-23563080		
BAY710	小角落設計710	02-29682627		劉怡廷0916-782277	
BAZ711	陳治中建築事務所711	02-25956519	02-25956515	陳星羽0921-312622	
BBA712	龔羽涵室內裝修712	03-5520639		龔S 0923-127241	
BBB713	長虹天璽713	吳經理0933-090825		吳經理0933-090825	
BBC714	德譽國際714	03-4915033	03-4013153	陳宜萱0912-332-412	
BBC714-001	德譽+門市店樣				
BBD715	晶瑞715BBD	03-3978712	03-3978713		
BBE716	得晟716BBE	02-22360011	02-22364321	汪S0932589642	
BBF717	惠特設計717	02-27682200		蕭賢豪0981-299183	
BBG718	日谷室內裝修718	02-27568388	02-27565388	李青谷0955082978	
BBH719	永隆興業社719BBH	03-4686818 03-4682239	03-4685403	李先生0903-008277	
BBI720	日成廚衛720	03-379-3207	0958-333-135		
BBJ721	德安國際-信義路721	02-2707-6600	02-2755-3300		
BBJ721-00	門市店樣(德安國際)				
BBK722	驊宸櫥櫃722BBK	0935-326567	(line)02-29326378	呂育哲	
BBL723	岱輝興業723BBL	07-7313530	07-7312914	Takara(水槽都要請峻益拿)	
BBL723-001	洪久茹-岱輝業主				
BBL723-002 	業主-岱輝				
BBM724	巍糧系統櫃724BBM	0933-842612		許先生(北部)	
BBN725	歐肯系統725	02-86782166	02-86782167	黃冠綺0958-473958	
BBO726	日天以利726BBO(日本櫃)	02-27930718	02-27930708	有懸空的地方全部倒包同色石材	
BBP727	近境設計(付全額才做)	0937-119-999		邱小姐	
BBQ728	品舍系統728BBQ	02-22915629	02-22915605	劉峻良0936-912011	
BBR729	金豪729	"02-29238066
02-29257589"	02-89218356		
BBS730	上云設計730	02-22362498	02-22366248		
BBT731	誠舍傢飾731BBT	02-28375009		巫小姐	
BBU732	大隱室內設計732	02-27315100(5119)	02-27310047		
BBV733	瑞特室內設計733	02-28482251	02-28488896		
BBW734	歐森創意734	02-85219451	02-85219452	楊子輝0937-033347  需先匯全額才下單	
BBX735	源原設計735	02-27093660	02-27017106	陳先生	
BBX735-001	業主--源原設計				
BBY736	緯創興業736BBY	03-3590021	03-3590028	曾義昇0955591840	
BBZ737	森參室內設計737	02-23252019	02-23250318	郭玉清0953-058798	
BCA738	一九七二T系統櫥櫃738				
BCB739	種子設計739			郭奕君	
BCC740	德宜國際740	02-66153311	02-66153322	莊佳尉0925-128059#228	
BCD741	tA空間製作(康鼎)741	03-6675088	03-6675099		
BCE742	形構742	02-28341397	02-2834-9876		
BCF743	一直在743(653重複編碼)	037-666307	037-666227		
BCG744	富士登744-烤漆門板			烤漆門板(嘉義)	
BCH745	馥閣設計745		斌LINE	羅子鈞0955-757438	
BCI746	巨匠746	02-22928917	02-22928927	楊萬發	
BCJ747	雋空間747BCJ	03-6581770	03-6581773	0953-133-778	
BCJ747-001	門市+雋空間747BCJ			0953-133-778	
					
BCK748	諾禾空間748	02-2755-5585	02-27556575	劉皓凱0910-932-688	
BCL749	果多設計749BCL			杜永承0988-009809	
BCM750	或是750	02-22395369		張先生0928-897-956	
BCN751	築石751	02-29288876	02-29286736	羅先生0909-094918	
BCO752	立而登家具752	02-27049438	02-27019427	黃小欣0989-830355	
BCP753	富旺753	03-3328885	03-3335863		
BCQ754	隱巷室內設計754	02-23257670	02-23256687	莊淨惠	
BCR755	長毅室內裝修755	02-27617010	02-27679181	鄭詠云0975-325335	
BCS756	一品宅設計756	03-588-1859	03-588-1908	李小姐0939-080926	
BCT757	里歐室內設計757	02-28982708	02-28982765	偕志宇0938-125109	
BCU758	軒禾室內裝修758	02-28856958	02-28359658		
BCV759	元宏廚具759BCV	02-22110521	02-22110850		
BCW760	汎德760	03-5505538	03-5505507		
BCX761	寓騏空間761			陳少庸0980-224290	
BCY762	歐法762BCY	02-2516-6608	02-25166609		
BCZ763	塔卡菈763	03-5588022	line群組	takara彭霖清0932-119919	
BDA764	傢琦設計764BDA	02-89920601  02-89928580	02-89928518	林俞綺	
BDB765	凝居系統櫥櫃765BDB	03-2873300	03-2873322		
BDC766	布雜墨藝766	02-25626896	02-25626826		
BDD767	永聖/和韻767BDD	02-25182700	02-25182001	和韻takara(要問桶身)	
BDD767-01	蔡忠福(和韻)767-01BDD	蔡先生0917-282-882			
BDE768	東旂建材768	02-26089618	02-26089631	羅S	
BDF769	米蘭磁磚769	03-2161199	03-2160505		
BDG770	森禾企業770BDG	0900-554-501	群組Line	露水槽2mm	
BDG770-001	森禾師父770-001BDG				
BDG770-002	森禾門市				
BDH771	宏曄771	02-27690030	02-27666195		
BDI772	意舍772			陳先生	
BDJ773	麗德衛浴773	02-26426633	02-26902076	黃子欽0933-066330	
BDK774	葆誠774BDK	0932-134-408	02-22059924	吳振芳0932-134408	
BDL775	佳業(實代)775BDL	02-22932260	02-22932261		
BDM776	阿貴776				
BDN777	沃尚777	02-26484125		黃聖隆0920-727459	
BDO778	逸硯778	03-6585848	03-6585747		
BDP779	九陽室內裝修779BDP	0935-506-226		張偉源	
BDQ780	森嵐室內設計780BDQ	0919-238191	03-6576782	王晧宇	
BDR781	双設計781	0935-765035			
BDS782	溢淂782BDS	02-27945511	02-27932828	Takara	
BDS782-002	業主維修(溢淂)				
BDT783	奧美系統櫥櫃783	02-22515318	02-22515316		
BDU784	宇盛784	(06) 261-3838			
BDV785	璞碩室內裝修工程785	02-22218118		黃知本0921-321-771	
BDW786	活水786				
BDX787	雅設787 	02-27385228#401	付款才施做	靳先生0955-017592	
BDY788	楊力788	02-26181307	02-26182623	楊班長0910-350340	
BDZ789	都會族789	02-2296-1160	02-2297-8811	吳佳玲0988-052817	
BDZ789-001	都會族789	02-22961160	02-22978811	陳建志0972-783-300	
BEA790	原初790(原漢廚)	02-26813977			
BEB791	可樂石791				
BEC792	禾藝空間設計792BEC	0912-208-445	林姊Line		
BED793	冠鈞(格麗斯木柵店)793BED 	02-2236-0127	02-2236-2088		
BED793-001	格麗斯木柵店(冠鈞)793-001BED 	02-22360127	02-22362088		
BED793-003	冠鈞門市(格麗斯木柵店)				
BED793-002	興隆793-002BED	"02-2236-0733
02-2236-9166"	02-2236-1851	Takara	
BED793-004	興隆門市				
BEE794	赫登傢俱794BEE	03-3289828 03-3289850	03-3289837		
BEF795	絕對相對室內裝修795BEF	02-22115806	02-22115846	陳重成0958-060588	
BEG796	永鉅設計796BEG				
BEH797	墨線設計有限公司797BEH	02-87896717	02-87896718	蕭羽伶0933-140085	
BEI798	生活空間設計有限公司798BEI				
BEJ799	去編在509台灣歐德(中山店)799BEJ	(02)2883-1108	(02)2883-6238	邱 鈺 珊0987-245261	
BEK800	蘇-室美 室內裝修設計800BEK	02-29590128 		蘇敬惠0928511806	
BEL801	帕洛那-明辰801BEL	03-5517935	03-5517953	李冠勇	
BEL801-001	帕洛那+801門市	03-5517935	03-5517953		
BEM802	兆基管理顧問股份有限公司802BEM			劉兼秀0937-520923	
BEN803	璞拾設計803BEN			李怡靜 0934024693	
BEO804	德義804BEO			莊英賓0937-599860	
BEP805	沃克空間設計805-竹北BEP	03-5509970	斌Line	吳昇展 0921056130	
BEP805-001	沃克806 (門市)-竹北BEP	03-5509970	斌Line	吳昇展 0921056130	
BEP805-002	沃克精品廚具-宜蘭BEP	03-933689	游林勳0965-507-755	游林勳0965-507-755	
BEQ806	迪克806 BEQ	翁先生0936-069947		翁先生0936-069947	
BER807	崗古設計807BER	02-26451345	02-26451895	鄧世宸專案設計師0918-656-656	
BER807-001	太陸工程(崗古)	為了沖帳勿刪			
BES808	慕捷特808BES	0936-970-468	03-2166986	劉家豪	
BET809	精淦809BET	03-3116441	03-3119943	Takara	
BET809-001	精淦+門市店樣				
BET809-003	業主維修(精淦)				
BEU810	原室內設計810BEU	方祺勳0976-622-247			
BEV811	極品家具811BEV	07-3712536	07-3712691		
BEW812	易展設計812BEW	0989005377巫先生	02-26031007		
BEX813	新煮義813BEX	02-27938826	02-27938721		
BEY814	德琳設計814BEY	李憲德0987-276-060			
BEZ815	陳彥豪815BEZ	0932-083-712			
BFA816	雅悅816BFA	翁先生0909-968-988			
BFB817	集昌祥(南崁)817BFB	03-3527799	03-3527788	clean up	
BFB817-02	集昌祥(竹北)817-02BFB	03-668-4158	03-668-4997		
BFB817-01	業主維修-集昌祥				
BFC818	富稜818BFC	0927-113-553	03-9594265		
BFE819	藏玉家居819BFE	07-3487678	07-3411366		
BFF820	明泰820BFF	06-2014962	06-3012201		
BFD821	Mr home821BFD	0935-307-770曾先生			
BFG822	"禎鄉設計822BFG        
"	02-22535990	02-22554328		
BFH823	沐易設計823BFH				
BFI824	鑫松廚具824BFI	02-23463030	02-23463131		
BFI824-001	鑫松門市	為了沖帳	為了沖帳		
BFJ825	御田空間(波堤)825BFJ	03-9321758	03-9321768		
BFJ825-001	門市御田空間(波堤)825BFJ	03-9321758	03-9321768		
BFJ825-002	業主維修(御田)				
BFK826	力坊生活科技826BFK	04-8221633	04-8221613		
BFL827	淞宇827BFL	02-89193898	(LINE)02-89197326		
BFL827-001	業主維修(淞宇)				
BFN828	吉祐828BFN	02-22971398	02-29001307		
BFO829	亦象829BFO	0982-588-363		 	
BFP830	張瑞忠個人830-德安BFP	0920-506-287	堯Line		
BFQ831	婦友831BFQ	05-2356699	05-2362233		
BFR832	森億832BFR	06-2780152	06-2783236	小馨0968-655-669	
BFS833	德妮廚具833BFS	02-26281310	02-26281362		
BFT834	杉築834BFT	0932-809-078		李健生	
BFU835	松德835BFU	02-27082222	02-27097373		
BFU835-001	博愛路(松德工地)				
BFV836	風動設計836BFV	02-27733996	02-27733556		
BFW837	慶磊837BFW	02-27073256	02-27073239	詹文惠0933-862-262	
BFW837-001	慶磊門市店樣837BFW				
BFX838	立碁石材有限公司838BFX	02-27292616	02-27079635	區家聯0910-338(6)-372	
BFY839	福璽839BFY	0932-709-089	斌line	朱啟華	
BFZ840	郡品(蘇成介紹)840BFZ	02-2990-7775		0912-302-101	
BGA841	聖笠室內裝修841BGA	02-27161505	02-27161550	吳信堅0936-264-718	
BGB842	銓鴻842BGB	02-29010008	02-29018839	周享學0937-056-570	
BGB842-001	業主維修(銓鴻)				
BGC843	大迦行843BGC				
BGD844	一間創意844BGD	0937-467-692			
BGE845	澤境設計845BGE	03-668-8337	LINE群組	"黃S 0905-916-586
呂R 0928-729-230"	
BGF846	工緒846BGF(AZZ685有重複的)	03-6582122			
BGG847	柏林廚具847BGG	02-2282-6017	02-22851391		
BGG847-01	業主維修-柏林				
BGH848	昌庭建材848BGH	02-3765-2506	02-3765-2259	許麗玲0935-154-204	
BGJ849	駩鑫企業有限公司849BGI	02-2602-0312	02-2602-0352	廖翊展0922-761-763	
BGK850	木埕設計850BGK	0938-690-336			
BGL851	語點室內裝修851	0912-826-797		傅聖錦	
BGM852	大森營造有限公司852	02-22486618	02-22481158		
BGN853	比佛利-許小姐853(業主)	0936-463-999沈小姐			
BGN853-01	太乙石材	沈泳翔0936-463-999			
BGO854	亞詮854BGO				
BGP855	欣亞855BGP	02-2293-7146	02-2293-7147	黃R0933-014-927	
BGQ856	蜜雪兒856BGQ	06-3565823	06-3565610	洪先生0912-743-333	
BGS857	史詠賢小姐857BGS	0921-132-622	林姊line		
BGR858	好事通858BGR				
BGT859	快又美859BGT	03-3595029	03-3594996	邱先生0910-957569	
BGU860	皇室空間室內設計860BGU	03-5389750	03-5389752		
BGV861	驊藏861BGV	02-22779516	02-22779518	柯捷詠0933-142093	
BGW862	印特設計862BGW	02-2742-0578	02-2742-0747	黃佩婷0978-883-359	
BGX863	永茂863BGX	02-2600-5612	02-2608-5612	劉育信0982-592400	
BGY864	呈品廚具864BGY	02-25090875	02-25090879		
BGZ865	囍田865BGZ	葉先生0918-031-111			
					
BHA866	JASON866BHA				
BHB867	采旭867BHB	02-26022292	02-25630595		
BHC868	傑客室內設計有限公司868BHC	02-23322868	02-2332-8589	陳冠豪0954-032-669	
BHD869	境觀設計869BHD	02-2700-8256	02-2700-8225	江佑山 0983-466-233	
BHE870	木呈870BHE	洪千淑0938-690-336	林姐LINE		
BHF871	木棉檤室內設計871BHF	0918-089-908			
BHG872	明室設計872BHG	0910-229-311李小姐	斌Line		
BHH873	SKY873BHH	0952-581-531游修嫺			
BHI874	欣煜國際有限公司874BHI	02-89541428	02-89541078	張紹輝0936-328-393	
BHJ875	意識室內設計875BHJ	02-2739-6610	02-2703-6619	需收全額才下單 張雅雯0920-260-907	
BHK876	宸鉅(宸居)室內設計876BHK	037-598877	037-596998		
BHL877	名晟歐化877BHL	02-28051116	02-28054756		
BHM878	686室內設計878BHM	05-5353686	05-5322813	湯雅雯0988-010-585	
BHN879	桓櫻879BHN	無	萱/斌LINE	郭瑀婕0967-208-086	
BHO880	功林盧先生880BHO	03-3224116~8	03-3224989	盧先生0915-339-250或LINE	
BHR881	耶穌基督後期聖徒教會881BHR			詹佳緯 0988-673-558	
BHT882	廣臨國際882BHT	02-2673-9858	02-2673-9969	曾裕洋0936-831-747 收全額才能下單	
BHU883	巨暘883BHU	03-327-1536	03-327-1569	陳光耀0985-678-548	
BHV884	頡欣884BHV	02-2250-6658	02-2250-6661	鍾易廷0988381722	
BHW885	寶德曼國際885BHW	02-2792-2155	02-2793-7279	涂清源0932-017-389	
BHW885-001	門市(寶德曼)				
BHW885-002	品萱內湖案(寶德曼)				
BHX886	雅特886BHX	0911-313-894			
BHY887	竹樂系統家具設計887BHY	02-82927270	02-82927370		
BHZ888	方宅十餘畝有限公司888BHZ	02-82926081		吳佳玲0988-052-817	
BHZ888-001	業主-方宅				
BIA889	時二設計889BIA(興立富呂彥廷介紹)	0926-221-306			
BIB890	日工892BIB	0930-594-026			
BIC891	寶麗新有限公司891BIC	02-82950987	02-22933844	陳子維0933-750-414	
BID892	互全衛浴892BID	03-6683782	03-6681752		
BIE893	奇尚893BIE			0933-879-205	
BIF894	盛美894BIF	02-2789-3738	02-2789-2837	sunwave下折	
BIF894-001	門市店樣-盛美	02-2789-3738	02-2789-2837		
BIF894-002	松和國際894-002BIF(盛美另一家發票抬頭)	02-27893738	02-27892837	panasonic套平//報價只能給採購//	
BIF894-003	英屬開發物流(盛美)	為了沖帳勿刪			
BIF894-004	宏悅建設(盛美)	為了沖帳勿刪			
BIG895	竹松895BIG	03-5533627	03-5533628		
BIH896	烜喆空間設計896BIH	尤莉雅0987-482-738			
BII897	尚鴻室內裝潢空間設計897BII	03-4834022	03-4834029		
BIJ898	貝格898BIJ				
BIK899	洆果899BIK(竹北-愛菲爾)	03-5502089	03-6582758		
BIL900	羅舍(原御楓)900BIL	02-25000755	02-25000767		
BIL900-001	羅舍 900BIL	03-9590571	03-9590571		
BIL900-002	門市店樣-羅舍	03-9590571	03-9590571		
BIM901	舒適的家企業社901BIM蘇成介紹	02-8671-0407	02-8671-0843	陳光文0935-505-728	
BIN902	長實廚具系統902BIN	0981-261-482	02-26192532		
BIO903	亞當903BIO	02-2289-1133	02-2289-1155		
BIO903-001	贊暘建設-亞當	02-2289-1133	02-2289-1155		
BIP904	千誠衛浴904BIP	02-2532-7733	02-8509-2187	邱家豪0977-665-689	16533277
BIQ905	光自在905BIQ	02-7299-2401		梁希祐0934-270-035	
BIR906	品衛906BIR	0973-863-577			
BIS907	巧格設計907BIS(林易珊)	0956-618-013			
BIT908	弘願908BIT	02-2592-7422	02-2598-8534	張秀慧 0938-643-339	
BIU909	凱鑫室內設計909BIU	03-525-3200	03-522-0583		
BIV910	閑野秝居設計BIV910	0986-886-610			
BIW911	永昕BIW911	06-2635-899	06-2912-388		
BIX912	合裕912BIX	02-87914559	02-8791-7253		
BIY913	寬遠系統櫃913BIY	037-621-477	斌Line	張富勝0932-955-400	
BIZ914	藝禾廚櫃914BIZ	02-2531-3511	02-2537-4727	陳怡靜 0958-206-005	
BJA915	高邑科技室內裝修有限公司915	02-82601977	02-22632737	呂素如小姐	
